username,followers,followings,has_biography,is_private,has_name,posts,has_profile_picture,bio_lenght,following_to_follower_ratio,following_to_post_ratio,follower_to_post_ratio,name_only_alphabet,LCSofNameAndUsername_to_name_ratio,number_in_username_ratio,is_fake
zahra_sz7264,27,82,0,1,1,0,1,0,3.037037037,1.00E+12,1.00E+12,1,0.545454545,0.333333333,0
mahnaz_mohammadkhani,135,228,0,1,1,22,1,0,1.688888889,10.36363636,6.136363636,0,0,0,0
sadeghi.elham66,63,393,1,1,1,273,1,66,6.238095238,1.43956044,0.230769231,0,0.538461538,0.133333333,0
zahra.c569,104,367,0,0,1,0,0,0,3.528846154,1.00E+12,1.00E+12,0,0.416666667,0.3,0
lilahosseini,181,642,0,1,1,46,1,0,3.546961326,13.95652174,3.934782609,0,1,0,0
mahdiyehmirzaali64,55,192,0,1,1,3,1,0,3.490909091,64,18.33333333,0,0.615384615,0.111111111,0
mahnaz.amani1972,137,176,0,0,1,0,1,0,1.284671533,1.00E+12,1.00E+12,1,1,0.25,0
m.asadi5814,100,59,0,1,1,14,1,0,0.59,4.214285714,7.142857143,0,0.714285714,0.363636364,0
mahtaaab.2016,154,158,0,1,1,6,1,0,1.025974026,26.33333333,25.66666667,0,0.615384615,0.307692308,0
samira___alz,80,145,0,1,1,2,1,0,1.8125,72.5,40,0,0.4,0,0
heidari3078,80,152,0,1,1,2,1,0,1.9,76,40,0,0.636363636,0.363636364,0
__mahtab__hatami,42,190,0,1,1,49,0,0,4.523809524,3.87755102,0.857142857,0,0.75,0,0
matina0210,67,108,1,0,1,3,1,25,1.611940299,36,22.33333333,0,0.5,0.4,0
farzane_fakhrian,564,639,1,1,1,233,1,72,1.132978723,2.74248927,2.420600858,1,0,0,0
shadikhazaei,277,344,0,1,1,29,1,0,1.241877256,11.86206897,9.551724138,0,1,0,0
amiraram_mahj,521,998,1,1,1,25,1,14,1.915547025,39.92,20.84,0,0.666666667,0,0
javad65.ghanbari1,134,5499,0,0,1,23,1,0,41.03731343,239.0869565,5.826086957,1,1,0.176470588,1
zaqmlpvgty10,76,3530,0,0,1,22,1,0,46.44736842,160.4545455,3.454545455,0,0,0.166666667,1
mhdi_99_,22,1584,0,0,0,0,0,0,72,1.00E+12,1.00E+12,1,0,0.25,1
actoric.boy,1889,4127,1,0,1,3,0,3,2.184753838,1375.666667,629.6666667,1,0.25,0,1
hataee394,93,5928,0,0,1,10,0,0,63.74193548,592.8,9.3,1,0.4,0.333333333,1
amir.hosin2004,93,4163,0,0,1,22,1,0,44.76344086,189.2272727,4.227272727,1,0.636363636,0.285714286,1
shohreh_salamati,279,5977,1,1,1,22,1,35,21.42293907,271.6818182,12.68181818,0,1,0,1
mahsa.mzy7,106,7487,0,0,1,23,1,0,70.63207547,325.5217391,4.608695652,1,1,0.1,1
dr.kakhal_official,128,5675,0,0,1,13,0,0,44.3359375,436.5384615,9.846153846,0,0.090909091,0,1
zahradelbariii,46,1183,1,1,1,22,1,4,25.7173913,53.77272727,2.090909091,1,1,0,1
abbasmaleki17,85,4572,0,0,1,5,1,0,53.78823529,914.4,17,1,1,0.153846154,1
digimannn,82,5989,1,0,1,22,1,3,73.03658537,272.2272727,3.727272727,1,0,0,1
shrmrndi,61,3387,0,0,1,24,1,0,55.52459016,141.125,2.541666667,0,0.5,0,1
hebeb7777,97,5566,0,0,1,21,1,0,57.3814433,265.047619,4.619047619,0,1,0.444444444,1
newtel4270,67,2862,0,0,1,10,1,0,42.71641791,286.2,6.7,0,1,0.4,1
ahamirhossin2020,47,2287,0,1,1,27,1,0,48.65957447,84.7037037,1.740740741,0,0,0.25,1
lailamaleki1398,58,5450,0,0,1,9,1,0,93.96551724,605.5555556,6.444444444,0,1,0.266666667,1
van_der__7790,72,5916,0,1,1,23,1,0,82.16666667,257.2173913,3.130434783,0,0,0.307692308,1
h2.amin,80,5255,0,0,1,22,1,0,65.6875,238.8636364,3.636363636,0,0.666666667,0.142857143,1
hajihajipor69,80,6026,0,0,1,5,1,0,75.325,1205.2,16,0,1,0.153846154,1
iranii90,359,3774,0,0,1,4,1,0,10.51253482,943.5,89.75,0,0,0.25,1
amin.namosi0980,59,3871,0,0,1,25,1,0,65.61016949,154.84,2.36,1,1,0.266666667,1
abdalrzea3,1112,2422,1,0,1,11,1,4,2.178057554,220.1818182,101.0909091,1,1,0.1,1
zurbin91,127,5989,0,0,1,22,1,0,47.15748031,272.2272727,5.772727273,0,1,0.25,1
hasan_parvizi.offical,203,4668,1,1,1,9,1,89,22.99507389,518.6666667,22.55555556,0,0,0,1
amyrk4135,65,3658,0,0,1,22,1,0,56.27692308,166.2727273,2.954545455,0,1,0.444444444,1
malmal4230,72,4093,0,0,1,6,1,0,56.84722222,682.1666667,12,0,1,0.4,1
hamidrasaei79,142,5947,0,0,1,14,1,0,41.88028169,424.7857143,10.14285714,0,0,0.153846154,1
edrahim_khalagi_,71,5720,0,0,1,12,1,0,80.56338028,476.6666667,5.916666667,0,0.4375,0,1
mortezatest.e4,16,855,0,0,1,24,1,0,53.4375,35.625,0.666666667,1,1,0.071428571,1
iam_kian_,912,6229,1,0,0,5,1,124,6.83004386,1245.8,182.4,1,0,0,1
baranbaran_7979,114,5989,0,0,1,4,1,0,52.53508772,1497.25,28.5,0,0.666666667,0.266666667,1
makan.arab,63,5993,0,0,1,4,1,0,95.12698413,1498.25,15.75,0,0.5,0,1
ehsan.ansari.6113,85,6001,0,0,1,22,1,0,70.6,272.7727273,3.863636364,0,0.352941176,0.235294118,1
mamad0000oooo,77,5986,1,1,1,23,1,3,77.74025974,260.2608696,3.347826087,1,0.25,0.307692308,1
tenuyuhu,101,5201,0,0,1,22,1,0,51.4950495,236.4090909,4.590909091,1,0.6,0,1
rahgozar00022,76,5936,0,0,1,4,0,0,78.10526316,1484,19,0,1,0.384615385,1
sobhan.tourism,96,5566,0,0,1,22,1,0,57.97916667,253,4.363636364,1,0.583333333,0,1
xpryaw,61,5883,0,0,1,22,1,0,96.44262295,267.4090909,2.772727273,0,0,0,1
alipadarke3,107,7430,0,0,1,27,1,0,69.43925234,275.1851852,3.962962963,0,1,0.090909091,1
nortajemle,72,5745,0,0,1,4,0,0,79.79166667,1436.25,18,0,0.076923077,0,1
armin.t.b.t.44,64,3990,0,0,1,5,0,0,62.34375,798,12.8,0,0.357142857,0.142857143,1
mohamadhasani009,75,1646,0,0,1,4,1,0,21.94666667,411.5,18.75,0,0.333333333,0.1875,1
sahell_al_3640,8202,5687,0,0,1,10,0,0,0.693367471,568.7,820.2,0,0.2,0.285714286,1
amirhosinafsrryz5,87,5940,0,0,0,0,0,0,68.27586207,1.00E+12,1.00E+12,1,0,0.058823529,1
alirezaebi45,57,2657,0,0,1,23,1,0,46.61403509,115.5217391,2.47826087,0,0.166666667,0.166666667,1
masodrik,86,5997,0,0,1,4,0,0,69.73255814,1499.25,21.5,1,0,0,1
hamedhmbnm,117,4205,0,0,1,4,1,0,35.94017094,1051.25,29.25,1,1,0,1
fatme11135,82,4081,0,0,1,4,0,0,49.76829268,1020.25,20.5,0,1,0.5,1
farzad.aabbcc,105,5686,0,0,1,4,1,0,54.15238095,1421.5,26.25,0,0.666666667,0,1
rominaaaaajoon5,105,5893,0,0,1,23,0,0,56.12380952,256.2173913,4.565217391,0,0.5,0.066666667,1
sogand.3294,101,6054,0,0,1,10,1,0,59.94059406,605.4,10.1,1,1,0.363636364,1
ahmadreza_bagher,12255,7499,1,0,1,4,0,37,0.611913505,1874.75,3063.75,1,0.733333333,0,1
maryamooo.83,321,4263,0,1,1,6,1,0,13.28037383,710.5,53.5,0,0.111111111,0.166666667,1
active.312,74,5925,0,0,1,22,1,0,80.06756757,269.3181818,3.363636364,0,0.6,0.3,1
ghgfhfghfg675t645fd,524,5471,0,0,1,25,0,0,10.44083969,218.84,20.96,1,0.25,0.315789474,1
ebii5590,96,5814,0,0,1,27,1,0,60.5625,215.3333333,3.555555556,0,0.181818182,0.5,1
mahdi_ahmdi_1377,70,4365,0,1,1,21,0,0,62.35714286,207.8571429,3.333333333,1,1,0.25,1
matadormhdy,19,2321,0,0,1,4,1,0,122.1578947,580.25,4.75,1,0.4,0,1
mar13822,109,5971,0,0,1,22,1,0,54.77981651,271.4090909,4.954545455,0,0.4,0.625,1
hiva.zxcv,56,3110,0,0,1,5,1,0,55.53571429,622,11.2,0,0.444444444,0,1
kalaqi2564,114,6055,0,0,1,22,1,0,53.11403509,275.2272727,5.181818182,0,1,0.4,1
mohammad._.2319._,58,3038,0,0,1,24,1,0,52.37931034,126.5833333,2.416666667,1,0.666666667,0.235294118,1
fati.2638,752,5293,0,0,1,10,1,0,7.03856383,529.3,75.2,1,1,0.444444444,1
yarahmadi_h93,82,6051,1,0,1,10,1,68,73.79268293,605.1,8.2,0,0,0.153846154,1
alirezazangi22535,96,6040,0,0,1,4,1,0,62.91666667,1510,24,0,1,0.294117647,1
anialirezakh,74,6044,0,0,1,22,1,0,81.67567568,274.7272727,3.363636364,0,0.75,0,1
feri.mn1,161,5814,0,0,1,10,1,0,36.11180124,581.4,16.1,0,0.5,0.125,1
nafas.jabari.ww,94,5953,0,0,1,8,1,0,63.32978723,744.125,11.75,0,0.5,0,1
rahmanrahmani99,90,5869,0,0,1,23,1,0,65.21111111,255.173913,3.913043478,0,1,0.133333333,1
mo.bina3801,136,5996,0,0,1,22,1,0,44.08823529,272.5454545,6.181818182,1,1,0.363636364,1
matin_asgary4,60,1493,0,1,1,5,1,0,24.88333333,298.6,12,0,0.5,0.076923077,1
paris.art7,608,445,1,0,1,81,1,76,0.731907895,5.49382716,7.50617284,0,0,0.1,0
mahsa.rezaeian1374_,265,632,1,1,1,0,1,9,2.38490566,1.00E+12,1.00E+12,0,0.666666667,0.210526316,0
saeidesoleimani1994,122,146,0,1,1,0,1,0,1.196721311,1.00E+12,1.00E+12,0,0.75,0.210526316,0
yas_bnkdr,209,250,1,0,0,67,1,1,1.196172249,3.731343284,3.119402985,1,0,0,0
f_95_azizi,86,558,1,1,0,7,1,32,6.488372093,79.71428571,12.28571429,1,0,0.2,0
hooriya_rz73,242,174,1,1,1,9,1,86,0.719008264,19.33333333,26.88888889,0,0.571428571,0.166666667,0
haniye_zare_el,82,153,1,1,1,15,1,9,1.865853659,10.2,5.466666667,0,0,0,0
negiin_nejati,405,445,1,1,1,50,1,37,1.098765432,8.9,8.1,0,0.727272727,0,0
hessam_varzandeh,2377,346,1,1,1,24,0,137,0.145561632,14.41666667,99.04166667,1,0.857142857,0,0
shabnam_thr.pv,105,456,1,1,0,0,1,139,4.342857143,1.00E+12,1.00E+12,1,0,0,0
imaryamsh_,1240,670,1,0,1,57,1,150,0.540322581,11.75438596,21.75438596,0,0.5,0,0
arghaaavaaandaeinabi,62,267,1,1,1,15,1,1,4.306451613,17.8,4.133333333,0,0,0,0
fatemeh.gh1339,64,151,1,1,1,1,1,11,2.359375,151,64,1,0.833333333,0.285714286,0
zahraa_9583,98,114,1,1,1,2,1,31,1.163265306,57,49,0,0.3125,0.363636364,0
monamotevallian4645,64,216,0,1,1,7,1,0,3.375,30.85714286,9.142857143,1,1,0.210526316,0
sssindokht.sh,953,710,1,1,1,32,1,150,0.74501574,22.1875,29.78125,0,0,0,0
sm_jalali_f,333,512,1,1,1,216,1,140,1.537537538,2.37037037,1.541666667,0,0.461538462,0,0
sana.aboufazeli,218,212,1,1,1,1,1,59,0.972477064,212,218,0,0.8,0,0
zara.a_z,179,186,1,1,1,48,1,34,1.039106145,3.875,3.729166667,0,0,0,0
pouwja,1543,1468,1,1,1,40,1,67,0.95139339,36.7,38.575,0,0.3,0,0
saraazimi._,221,266,1,1,1,9,1,91,1.20361991,29.55555556,24.55555556,1,1,0,0
arefee___,134,174,1,1,1,0,1,18,1.298507463,1.00E+12,1.00E+12,1,1,0,0
faez.k1995,697,1297,1,1,1,45,1,18,1.860832138,28.82222222,15.48888889,1,0.666666667,0.4,0
shahab_tavassoli,440,855,1,1,1,10,1,42,1.943181818,85.5,44,1,1,0,0
hamedzng,282,336,1,1,1,1,1,74,1.191489362,336,282,0,0.461538462,0,0
nganji1993,491,537,0,1,1,31,1,0,1.093686354,17.32258065,15.83870968,0,0.555555556,0.4,0
kamyar.darvishi,230,297,1,1,1,132,1,137,1.291304348,2.25,1.742424242,0,0.125,0,0
khodrazz,189,270,0,1,1,12,1,0,1.428571429,22.5,15.75,1,0.428571429,0,0
mar_yam_n_m,345,638,0,1,1,42,1,0,1.849275362,15.19047619,8.214285714,1,1,0,0
alirezahajinoroozi,565,631,1,1,1,38,1,125,1.116814159,16.60526316,14.86842105,0,0,0,0
paz.modos,77,247,1,1,1,13,1,17,3.207792208,19,5.923076923,1,0.5,0,0
farzane_mahmoudi_,150,285,0,1,1,3,1,0,1.9,95,50,0,0,0,0
sogoliii_h,810,703,1,1,1,117,1,75,0.867901235,6.008547009,6.923076923,0,0.416666667,0,0
maryam.hashenni,132,193,1,1,1,2,0,20,1.462121212,96.5,66,0,0.333333333,0,0
almond6774,324,390,0,1,1,19,1,0,1.203703704,20.52631579,17.05263158,0,0.111111111,0.4,0
a_bahaloo,26,32,0,1,1,0,1,0,1.230769231,1.00E+12,1.00E+12,0,0.538461538,0,0
niloufar_banimostafavi,132,1331,0,1,1,180,1,0,10.08333333,7.394444444,0.733333333,0,1,0,0
_moujan_,224,257,0,1,1,12,1,0,1.147321429,21.41666667,18.66666667,0,0,0,0
tavanaeifatemeh,299,965,1,1,1,11,1,13,3.227424749,87.72727273,27.18181818,0,0.533333333,0,0
fa____135,517,390,1,0,1,22,1,51,0.754352031,17.72727273,23.5,0,0,0.333333333,0
sahar95.photography,247,218,1,0,1,91,1,112,0.882591093,2.395604396,2.714285714,0,0.647058824,0.105263158,0
sarahrajaee,242,301,0,1,1,0,1,0,1.243801653,1.00E+12,1.00E+12,0,0.6,0,0
maryamadibzadeh,300,455,1,1,0,96,1,15,1.516666667,4.739583333,3.125,1,0,0,0
__.imihgom.__,154,265,1,1,1,157,1,47,1.720779221,1.687898089,0.98089172,0,0.214285714,0,0
class.like,659,2123,1,0,1,57,1,148,3.2215478,37.24561404,11.56140351,0,0,0,0
mirnabi_f,173,179,1,1,0,3,1,66,1.034682081,59.66666667,57.66666667,1,0,0,0
sepehrhasanabadi,235,247,1,1,1,8,1,120,1.05106383,30.875,29.375,0,1,0,0
aleereza,1009,1000,1,0,1,448,1,117,0.991080278,2.232142857,2.252232143,0,0.571428571,0,0
mh_hajivandy,350,781,0,1,1,12,1,0,2.231428571,65.08333333,29.16666667,0,0,0,0
mehraneh.bm,209,323,1,1,1,10,1,75,1.545454545,32.3,20.9,0,0.6,0,0
shabnamtaherii,607,403,1,0,1,6,1,138,0.663920923,67.16666667,101.1666667,0,0.636363636,0,0
jmd_smne,87,90,0,1,0,3,0,0,1.034482759,30,29,1,0,0,0
_.lmira_sh,159,177,1,1,1,22,1,22,1.113207547,8.045454545,7.227272727,0,0.25,0,0
pantea.hjl,307,728,1,1,1,15,0,53,2.371335505,48.53333333,20.46666667,1,1,0,0
nikkifard_artwork,631,953,1,0,1,53,1,16,1.510301109,17.98113208,11.90566038,1,0.5,0,0
ros642003,5,6,0,1,1,0,0,0,1.2,1.00E+12,1.00E+12,1,0,0.666666667,0
m_pourbagheri,218,270,1,1,1,82,1,26,1.23853211,3.292682927,2.658536585,0,0.523809524,0,0
s.pournaderi,180,220,1,0,1,162,1,71,1.222222222,1.358024691,1.111111111,0,0.588235294,0,0
rezymo,382,1272,1,1,1,17,1,130,3.329842932,74.82352941,22.47058824,0,0.3,0,0
batool.saeidi,166,215,0,1,1,0,1,0,1.295180723,1.00E+12,1.00E+12,1,1,0,0
homayoun.kh.d,317,321,0,1,1,6,1,0,1.012618297,53.5,52.83333333,0,0.470588235,0,0
roxana_alaee,146,1532,0,1,1,0,1,0,10.49315068,1.00E+12,1.00E+12,1,1,0,0
fat_faz_far_,162,180,0,1,1,3,1,0,1.111111111,60,54,0,0.2,0,0
homa.nsr94,289,682,0,1,1,71,1,0,2.359861592,9.605633803,4.070422535,0,0.5,0.2,0
bfakhrian,78,83,0,1,1,16,1,0,1.064102564,5.1875,4.875,0,0.571428571,0,0
tavakolif37,89,119,1,1,1,1,1,14,1.337078652,119,89,0,0.166666667,0.181818182,0
mina_kz1995,126,359,1,1,1,40,1,56,2.849206349,8.975,3.15,1,1,0.363636364,0
kiana.gh__,256,282,0,1,0,31,1,0,1.1015625,9.096774194,8.258064516,1,0,0,0
narges_zjj,663,437,1,1,1,84,1,147,0.659125189,5.202380952,7.892857143,0,0.260869565,0,0
fatii.f4,128,72,1,1,1,0,1,24,0.5625,1.00E+12,1.00E+12,0,0.214285714,0.125,0
shararehhatami,484,661,1,1,1,425,1,39,1.365702479,1.555294118,1.138823529,1,1,0,0
morteza_ghasemi_varnam,512,557,1,0,1,6,1,68,1.087890625,92.83333333,85.33333333,0,1,0,0
__fatemehgodarzi__,243,418,1,1,1,14,1,110,1.720164609,29.85714286,17.35714286,1,1,0,0
aliamani74,430,463,1,0,1,0,1,146,1.076744186,1.00E+12,1.00E+12,0,1,0.2,0
anahita_hsn95,260,372,1,1,1,33,1,110,1.430769231,11.27272727,7.878787879,0,0.533333333,0.153846154,0
sahar_mlky,207,528,1,1,1,0,1,91,2.550724638,1.00E+12,1.00E+12,1,1,0,0
loosiiiiin,327,1491,1,1,1,33,1,5,4.559633028,45.18181818,9.909090909,0,0.076923077,0,0
emad.askari,454,540,0,1,1,230,1,0,1.189427313,2.347826087,1.973913043,0,0.666666667,0,0
armanp30,232,249,0,1,1,0,1,0,1.073275862,1.00E+12,1.00E+12,0,0.545454545,0.25,0
mesut_attar,667,740,1,1,1,17,1,65,1.109445277,43.52941176,39.23529412,1,0.166666667,0,0
romina_maleknia1373,420,438,1,1,0,19,1,39,1.042857143,23.05263158,22.10526316,1,0,0.210526316,0
zarei__fateme,154,2366,1,1,1,36,1,46,15.36363636,65.72222222,4.277777778,0,0.545454545,0,0
elaheh.zamani,37,63,0,1,1,1,1,0,1.702702703,63,37,0,1,0,0
fakhere.mahdavian,488,470,0,1,1,43,1,0,0.963114754,10.93023256,11.34883721,1,1,0,0
delaram_mansouri.pv,580,808,1,1,1,47,1,68,1.393103448,17.19148936,12.34042553,0,0.142857143,0,0
_felucca_,202,587,1,1,1,10,1,46,2.905940594,58.7,20.2,0,0.083333333,0,0
atie_srv,246,357,1,1,1,101,1,25,1.451219512,3.534653465,2.435643564,0,0.75,0,0
suloushkas,225,297,1,1,0,66,1,52,1.32,4.5,3.409090909,1,0,0,0
what.the.shot,280,570,1,0,1,42,1,44,2.035714286,13.57142857,6.666666667,0,0.916666667,0,0
reepooortt,737,584,0,1,0,0,0,0,0.792401628,1.00E+12,1.00E+12,1,0,0,0
_mehr3aaa_,189,185,1,1,1,29,1,6,0.978835979,6.379310345,6.517241379,0,0.571428571,0.1,0
n_afsharpour,114,210,0,1,1,4,0,0,1.842105263,52.5,28.5,1,0.2,0,0
saba_abedin,308,461,1,1,1,8,1,16,1.496753247,57.625,38.5,1,1,0,0
mehrnazasadi1995,481,476,1,1,1,12,1,50,0.98960499,39.66666667,40.08333333,0,0.466666667,0.25,0
qhazzale,317,331,1,1,1,9,1,7,1.044164038,36.77777778,35.22222222,0,0.5,0,0
vahid.asgari1993,231,346,0,1,1,12,1,0,1.497835498,28.83333333,19.25,1,1,0.25,0
__b_ta_aa__,158,443,1,1,0,15,1,8,2.803797468,29.53333333,10.53333333,1,0,0,0
hadiiis_frhd,480,504,1,1,1,110,1,59,1.05,4.581818182,4.363636364,0,0.1,0,0
nasim.dnr,224,268,1,1,1,163,1,113,1.196428571,1.644171779,1.374233129,0,0.333333333,0,0
hadis_torkamani,525,369,1,1,1,21,1,106,0.702857143,17.57142857,25,0,1,0,0
nasimnabati,61,86,0,1,1,0,1,0,1.409836066,1.00E+12,1.00E+12,0,1,0,0
marym_mehdizade,1062,1119,1,1,1,99,1,72,1.053672316,11.3030303,10.72727273,0,0.666666667,0,0
mniksefat,83,262,0,1,1,0,1,0,3.156626506,1.00E+12,1.00E+12,0,0.5,0,0
pantea.dll,454,652,1,1,1,311,1,20,1.436123348,2.096463023,1.459807074,1,1,0,0
maryam_hashemi15,229,437,1,1,1,37,1,82,1.908296943,11.81081081,6.189189189,1,1,0.125,0
m__b_r,53,83,0,1,1,1,0,0,1.566037736,83,53,0,0.038461538,0,0
rasul_panahi,241,247,1,1,1,38,1,29,1.024896266,6.5,6.342105263,1,0.5,0,0
masouddbaratii,159,262,1,1,1,9,1,19,1.647798742,29.11111111,17.66666667,0,0.583333333,0,0
usf23,165,255,0,1,0,2,1,0,1.545454545,127.5,82.5,1,0,0.4,0
elimokhtarpour,316,432,1,1,1,26,1,40,1.367088608,16.61538462,12.15384615,0,0.6875,0,0
layakarimi95,375,978,1,1,1,335,1,46,2.608,2.919402985,1.119402985,1,1,0.166666667,0
fateme.gh1339,180,276,0,1,1,42,1,0,1.533333333,6.571428571,4.285714286,1,0.857142857,0.307692308,0
mohammad.ghazanfarii,624,412,1,0,1,180,1,44,0.66025641,2.288888889,3.466666667,0,1,0,0
sabourarahimi,392,510,0,1,1,88,1,0,1.301020408,5.795454545,4.454545455,1,0,0,0
sh_shahrzad5,119,120,0,1,1,3,0,0,1.008403361,40,39.66666667,0,0.666666667,0.083333333,0
_y_a__ne,193,497,1,1,1,48,1,31,2.575129534,10.35416667,4.020833333,0,0.125,0,0
mohsen.oloomi,221,478,1,1,1,3,1,31,2.162895928,159.3333333,73.66666667,0,0.75,0,0
sogandshh,74,104,0,1,0,15,1,0,1.405405405,6.933333333,4.933333333,1,0,0,0
sarah.zhrrr,290,333,1,1,1,1,1,29,1.148275862,333,290,0,0.4,0,0
maedehmor,1363,7290,1,1,1,437,1,138,5.348495965,16.6819222,3.118993135,0,0.352941176,0,0
negarmsss,227,568,1,1,0,57,1,40,2.502202643,9.964912281,3.98245614,1,0,0,0
asalmansouri95,216,1107,1,1,0,120,1,93,5.125,9.225,1.8,1,0,0.142857143,0
m.masoudipor123,28,31,0,1,1,13,1,0,1.107142857,2.384615385,2.153846154,0,0.833333333,0.2,0
sherminehsamet,14590,416,1,0,1,196,1,29,0.02851268,2.12244898,74.43877551,1,1,0,0
nl_shakiba,156,334,1,1,1,3,1,17,2.141025641,111.3333333,52,0,0.466666667,0,0
e_dastangoo,59,85,0,1,1,6,1,0,1.440677966,14.16666667,9.833333333,0,0,0,0
ar_shah_ai,72,176,0,1,1,5,1,0,2.444444444,35.2,14.4,1,1,0,0
__maryam.he93,238,799,1,1,1,38,1,67,3.357142857,21.02631579,6.263157895,0,0.285714286,0.153846154,0
sahar.m3837,171,649,0,0,1,0,0,0,3.795321637,1.00E+12,1.00E+12,0,0.714285714,0.363636364,0
ma.mo.h.s,78,266,1,1,1,55,1,36,3.41025641,4.836363636,1.418181818,0,0.111111111,0,0
m4lm4l,96,318,1,1,1,0,1,43,3.3125,1.00E+12,1.00E+12,0,0.058823529,0.333333333,0
melika277_dehghani,209,179,1,1,1,6,1,59,0.85645933,29.83333333,34.83333333,0,0.533333333,0.166666667,0
elaheh_zamani,22,37,0,1,1,3,1,0,1.681818182,12.33333333,7.333333333,0,1,0,0
chkcfy,30,133,0,1,0,0,0,0,4.433333333,1.00E+12,1.00E+12,1,0,0,0
sina_ab_,374,314,1,1,1,47,1,140,0.839572193,6.680851064,7.957446809,0,0.166666667,0,0
zeinab.ghanaat,420,446,1,1,1,15,1,16,1.061904762,29.73333333,28,0,1,0,0
sadeghmotallebi,267,324,0,1,0,4,1,0,1.213483146,81,66.75,1,0,0,0
zahra_rahimi73_68,74,89,0,1,1,8,0,0,1.202702703,11.125,9.25,0,0.625,0.235294118,0
iustupcomings,3763,3428,1,0,1,177,1,144,0.910975286,19.36723164,21.25988701,1,1,0,0
__rozhin45__,467,615,0,1,1,52,1,0,1.316916488,11.82692308,8.980769231,1,1,0.166666667,0
zahraaa_fthi,113,434,1,1,1,38,1,95,3.840707965,11.42105263,2.973684211,0,0.4,0,0
niloo_jfi1994,1420,6003,1,1,1,48,1,26,4.227464789,125.0625,29.58333333,0,0.357142857,0.307692308,0
hadizainali,122,167,1,1,1,49,1,25,1.368852459,3.408163265,2.489795918,0,1,0,0
anita_a.h,519,864,1,1,1,106,1,53,1.664739884,8.150943396,4.896226415,0,0,0,0
faeze__alaee,114,127,1,1,1,3,1,33,1.114035088,42.33333333,38,0,0.416666667,0,0
noushin.motevalian,752,4389,1,1,1,257,1,66,5.83643617,17.07782101,2.926070039,1,1,0,0
_tavakoli_z,238,243,1,1,0,329,1,98,1.021008403,0.738601824,0.723404255,1,0,0,0
